GEOID,NAME,variable,estimate,moe
12133,"Washington County, Florida",B01003_001,24764,NA
13001,"Appling County, Georgia",B01003_001,18440,NA
13003,"Atkinson County, Georgia",B01003_001,8239,NA
13005,"Bacon County, Georgia",B01003_001,11201,NA
13007,"Baker County, Georgia",B01003_001,3132,NA
13009,"Baldwin County, Georgia",B01003_001,45111,NA
13011,"Banks County, Georgia",B01003_001,18708,NA
13013,"Barrow County, Georgia",B01003_001,78991,NA
13015,"Bartow County, Georgia",B01003_001,104919,NA
13017,"Ben Hill County, Georgia",B01003_001,17033,NA
13019,"Berrien County, Georgia",B01003_001,19152,NA
13021,"Bibb County, Georgia",B01003_001,153200,NA
13023,"Bleckley County, Georgia",B01003_001,12807,NA
13025,"Brantley County, Georgia",B01003_001,18756,NA
13027,"Brooks County, Georgia",B01003_001,15590,NA
13029,"Bryan County, Georgia",B01003_001,37063,NA
13031,"Bulloch County, Georgia",B01003_001,76120,NA
13033,"Burke County, Georgia",B01003_001,22520,NA
13035,"Butts County, Georgia",B01003_001,24090,NA
13037,"Calhoun County, Georgia",B01003_001,6365,NA
13039,"Camden County, Georgia",B01003_001,53231,NA
13043,"Candler County, Georgia",B01003_001,10812,NA
13045,"Carroll County, Georgia",B01003_001,117183,NA
13047,"Catoosa County, Georgia",B01003_001,66700,NA
13049,"Charlton County, Georgia",B01003_001,13040,NA
13051,"Chatham County, Georgia",B01003_001,288496,NA
13053,"Chattahoochee County, Georgia",B01003_001,10560,NA
13055,"Chattooga County, Georgia",B01003_001,24812,NA
13057,"Cherokee County, Georgia",B01003_001,247515,NA
13059,"Clarke County, Georgia",B01003_001,126176,NA
13061,"Clay County, Georgia",B01003_001,2951,NA
13063,"Clayton County, Georgia",B01003_001,283538,NA
13065,"Clinch County, Georgia",B01003_001,6686,NA
13067,"Cobb County, Georgia",B01003_001,751218,NA
13069,"Coffee County, Georgia",B01003_001,43021,NA
13071,"Colquitt County, Georgia",B01003_001,45486,NA
13073,"Columbia County, Georgia",B01003_001,150705,NA
13075,"Cook County, Georgia",B01003_001,17177,NA
13077,"Coweta County, Georgia",B01003_001,143260,NA
13079,"Crawford County, Georgia",B01003_001,12325,NA
13081,"Crisp County, Georgia",B01003_001,22713,NA
13083,"Dade County, Georgia",B01003_001,16197,NA
13085,"Dawson County, Georgia",B01003_001,24536,NA
13087,"Decatur County, Georgia",B01003_001,26682,NA
13089,"DeKalb County, Georgia",B01003_001,749323,NA
13091,"Dodge County, Georgia",B01003_001,20829,NA
13093,"Dooly County, Georgia",B01003_001,13736,NA
13095,"Dougherty County, Georgia",B01003_001,89703,NA
13097,"Douglas County, Georgia",B01003_001,143316,NA
13099,"Early County, Georgia",B01003_001,10312,NA
13101,"Echols County, Georgia",B01003_001,3981,NA
13103,"Effingham County, Georgia",B01003_001,60477,NA
13105,"Elbert County, Georgia",B01003_001,19166,NA
13107,"Emanuel County, Georgia",B01003_001,22533,NA
13109,"Evans County, Georgia",B01003_001,10687,NA
13111,"Fannin County, Georgia",B01003_001,25395,NA
13113,"Fayette County, Georgia",B01003_001,112303,NA
13115,"Floyd County, Georgia",B01003_001,97369,NA
13117,"Forsyth County, Georgia",B01003_001,228383,NA
13119,"Franklin County, Georgia",B01003_001,22766,NA
13121,"Fulton County, Georgia",B01003_001,1036200,NA
13123,"Gilmer County, Georgia",B01003_001,30414,NA
13125,"Glascock County, Georgia",B01003_001,2996,NA
13127,"Glynn County, Georgia",B01003_001,84470,NA
13129,"Gordon County, Georgia",B01003_001,57202,NA
13131,"Grady County, Georgia",B01003_001,24828,NA
13133,"Greene County, Georgia",B01003_001,17349,NA
13135,"Gwinnett County, Georgia",B01003_001,915046,NA
13137,"Habersham County, Georgia",B01003_001,44626,NA
13139,"Hall County, Georgia",B01003_001,198667,NA
13141,"Hancock County, Georgia",B01003_001,8515,NA
13143,"Haralson County, Georgia",B01003_001,29227,NA
13145,"Harris County, Georgia",B01003_001,34105,NA
13147,"Hart County, Georgia",B01003_001,25773,NA
13149,"Heard County, Georgia",B01003_001,11736,NA
13151,"Henry County, Georgia",B01003_001,225356,NA
13153,"Houston County, Georgia",B01003_001,153507,NA
13155,"Irwin County, Georgia",B01003_001,9320,NA
13157,"Jackson County, Georgia",B01003_001,67885,NA
